sku_id,week,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_8,week_of_year,month,quarter,season,forecast_demand
SKU00001,2026-01-06,0.0,0.0,3.0,1.0,0.0,0.75,0.5,2,1,1,Winter,0.08611111111111111
SKU00002,2026-01-06,0.0,2.0,4.0,0.0,7.0,2.25,1.5,2,1,1,Winter,2.363888888888889
SKU00003,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,1,1,Winter,0.10341985127038496
SKU00004,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00005,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00006,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00007,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.75,0.375,2,1,1,Winter,0.15902945151397166
SKU00008,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00009,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00010,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00011,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2,1,1,Winter,0.145870520236445
SKU00012,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00013,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00014,2026-01-06,0.0,1.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.12773490426325804
SKU00015,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.06303887667238342
SKU00016,2026-01-06,0.0,4.0,0.0,0.0,0.0,1.5,1.0,2,1,1,Winter,0.33888888888888885
SKU00017,2026-01-06,0.0,1.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.12773490426325804
SKU00018,2026-01-06,0.0,2.0,1.0,0.0,0.0,2.0,1.375,2,1,1,Winter,0.6711111111111112
SKU00019,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.5,0.25,2,1,1,Winter,0.11398278281732813
SKU00020,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.75,0.875,2,1,1,Winter,0.22698412698412704
SKU00021,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00022,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00023,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00024,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00025,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.75,0.375,2,1,1,Winter,0.15902945151397166
SKU00026,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00027,2026-01-06,0.0,0.0,2.0,0.0,0.0,0.5,0.25,2,1,1,Winter,0.11343602000612311
SKU00028,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00029,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.5,0.25,2,1,1,Winter,0.11398278281732813
SKU00030,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2,1,1,Winter,0.3187543012543012
SKU00031,2026-01-06,1.0,0.0,0.0,1.0,0.0,0.25,0.25,2,1,1,Winter,0.24551587301587302
SKU00032,2026-01-06,0.0,1.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.12773490426325804
SKU00033,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00034,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00035,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00036,2026-01-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1,1,Winter,0.04707143599401418
SKU00037,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00038,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00039,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2,1,1,Winter,0.145870520236445
SKU00040,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00041,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00042,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00043,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00044,2026-01-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,1,Winter,0.10955900521221398
SKU00045,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00046,2026-01-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1,1,Winter,0.04707143599401418
SKU00047,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00048,2026-01-06,0.0,0.0,0.0,1.0,0.0,0.0,0.125,2,1,1,Winter,0.10862050012710266
SKU00049,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00050,2026-01-06,0.0,0.0,2.0,1.0,0.0,0.5,1.0,2,1,1,Winter,0.5944444444444446
SKU00051,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00052,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00053,2026-01-06,0.0,0.0,2.0,0.0,0.0,0.5,0.25,2,1,1,Winter,0.11343602000612311
SKU00054,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00055,2026-01-06,0.0,0.0,3.0,0.0,0.0,0.75,0.375,2,1,1,Winter,0.21384976831621738
SKU00056,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00057,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00058,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00059,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00060,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00061,2026-01-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,1,Winter,0.10955900521221398
SKU00062,2026-01-06,3.0,0.0,4.0,2.0,0.0,2.25,1.5,2,1,1,Winter,0.7177777777777777
SKU00063,2026-01-06,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1,1,Winter,1.05
SKU00064,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.06303887667238342
SKU00065,2026-01-06,0.0,0.0,0.0,2.0,0.0,0.0,0.25,2,1,1,Winter,0.08727147994319608
SKU00066,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2,1,1,Winter,0.145870520236445
SKU00067,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00068,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00069,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00070,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.375,2,1,1,Winter,0.17553916779185916
SKU00071,2026-01-06,0.0,0.0,3.0,2.0,0.0,0.75,0.625,2,1,1,Winter,0.15277777777777776
SKU00072,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.06303887667238342
SKU00073,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00074,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00075,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.375,2,1,1,Winter,0.17553916779185916
SKU00076,2026-01-06,0.0,0.0,2.0,1.0,0.0,0.5,0.375,2,1,1,Winter,0.1708333333333333
SKU00077,2026-01-06,0.0,0.0,1.0,2.0,0.0,0.25,0.375,2,1,1,Winter,0.13055555555555556
SKU00078,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00079,2026-01-06,0.0,0.0,4.0,5.0,4.0,1.5,3.0,2,1,1,Winter,1.6411111111111112
SKU00080,2026-01-06,0.0,2.0,0.0,0.0,0.0,0.5,0.25,2,1,1,Winter,0.06652437515319579
SKU00081,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00082,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00083,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00084,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00085,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2,1,1,Winter,0.10337305178353429
SKU00086,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00087,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00088,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00089,2026-01-06,0.0,0.0,2.0,0.0,0.0,0.5,0.375,2,1,1,Winter,0.0
SKU00090,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00091,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00092,2026-01-06,0.0,0.0,0.0,2.0,0.0,0.0,0.625,2,1,1,Winter,0.0
SKU00093,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00094,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,1,1,Winter,0.10341985127038496
SKU00095,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00096,2026-01-06,0.0,0.0,0.0,1.0,0.0,0.0,0.125,2,1,1,Winter,0.10862050012710266
SKU00097,2026-01-06,0.0,1.0,0.0,0.0,0.0,0.25,0.125,2,1,1,Winter,0.12773490426325804
SKU00098,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00099,2026-01-06,0.0,0.0,0.0,2.0,0.0,0.0,0.25,2,1,1,Winter,0.08727147994319608
SKU00100,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00101,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00102,2026-01-06,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2,1,1,Winter,0.3194444444444444
SKU00103,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00104,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
SKU00105,2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,Winter,0.0848301128778907
